name	doi	aerobic_status	morphology	motility	spore_formation	gram_stain	bile_sensitive	saccharolytic	comments	urease	catalase	formate_production	acetate_production	propionate_production	butyrate_production	isobutyrate_production	valerate_production	isovalerate_production
Brevundimonas diminuta	10.1099/00207713-44-3-499	aerobe	rod/ bacilli	motile	not indicated	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	consumed	consumed	consumed	not indicated	consumed	minor product
Tannerella forsythia	10.1099/00207713-52-3-841	obligate anaerobe	fusiform	non-motile	not indicated	Gram-negative	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Sutterella wadsworthensis	10.1099/00207713-46-1-252	not indicated	rod/ bacilli	not indicated	not indicated	Gram-negative	not indicated	not indicated		urease negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Brevundimonas vesicularis	10.1099/00207713-44-3-499	aerobe	rod/ bacilli	motile	not indicated	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	consumed	not indicated	consumed	not indicated	not producted	not producted
Succinivibrio dextrinosolvens	N/A	anaerobe (unspecified)	slightly curved rods	not indicated	non-spore forming	Gram-negative	not indicated	saccharolytic	http://jb.asm.org/content/72/1/22.full.pdf+html	not indicated	not indicated	major product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Butyricicoccus pullicaecorum	10.1099/ijs.0.65730-0	anaerobe (unspecified)	ovoid	non-motile	not indicated	Gram-positive	not indicated	not indicated		urease positive	not indicated	not indicated	consumed	not indicated	major product	not indicated	not indicated	not indicated
Succiniclasticum ruminis	10.1099/00207713-45-2-297	not indicated	rods or slightly curved rods	non-motile	non-spore forming	Gram-negative	not indicated	asaccharolytic		urease negative	catalase negative	not producted	not producted	major product	not producted	not producted	not producted	not producted
Sporobacter termitidis	10.1099/00207713-46-2-512	obligate anaerobe	slightly curved rods	motile	spore forming	Gram-positive	not indicated	asaccharolytic		not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Butyricimonas synergistica	10.1099/ijs.0.007674-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	no growth in 20% bile	saccharolytic		urease negative	catalase negative	not indicated	minor product	minor product	major product	minor product	not indicated	not indicated
Butyricimonas virosa	10.1099/ijs.0.007674-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	no growth in 20% bile	saccharolytic		urease negative	catalase positive	not indicated	minor product	minor product	major product	major product	not indicated	not indicated
Shuttleworthia satelles	10.1099/00207713-52-5-1469	obligate anaerobe	slightly curved rods	non-motile	non-spore forming	Gram-positive	no growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Catenibacterium mitsuokai	10.1099/00207713-50-4-1595	obligate anaerobe	not indicated	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Centipeda periodontii	10.1099/00207713-33-3-628	not indicated	rod/ bacilli	variable	not indicated	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	major product	major product	not indicated	not indicated	not indicated	not indicated
Sediminibacterium salmoneum	10.1099/ijs.0.65514-0	aerobe	rod/ bacilli	motile	not indicated	Gram-negative	not indicated	saccharolytic		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Schwartzia succinivorans	10.1099/00207713-47-1-155	not indicated	slightly curved rods	motile	not indicated	not indicated	not indicated	asaccharolytic		urease negative	catalase negative	not producted	not producted	major product	not producted	not producted	not producted	not producted
Roseburia cecicola	10.1099/00207713-33-3-618	obligate anaerobe	slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	catalase negative	not indicated	consumed	not indicated	major product	not indicated	not indicated	not indicated
Pseudoflavonifractor capillosus	10.1099/ijs.0.016725-0	obligate anaerobe	rods or slightly curved rods	non-motile	non-spore forming	Gram-negative	no growth in 20% bile	asaccharolytic		not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Pseudobutyrivibrio ruminis	10.1099/00207713-46-2-559	not indicated	slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	major product	minor product	not indicated	major product	not indicated	not indicated	not indicated
Eremococcus coleocola	10.1099/00207713-49-4-1381	facultative anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		urease variable	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Porphyromonas asaccharolytica	10.1099/00207713-38-1-128	obligate anaerobe	rods or oval-shaped	non-motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	major product	minor product	major product	minor product	not indicated	minor product
Peptoniphilus asaccharolyticus	10.1099/00207713-51-4-1521	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	asaccharolytic		urease negative	not indicated	not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated
Parasutterella excrementihominis	10.1099/ijs.0.002519-0	obligate anaerobe	cocci or oval-shaped	non-motile	non-spore forming	Gram-negative	growth in 20% bile	asaccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Paraprevotella clara	0.1099/ijs.0.008169-0	obligate anaerobe	not indicated	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Paralactobacillus selangorensis	10.1099/00207713-50-1-19	not indicated	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Parabacteroides distasonis	10.1099/ijs.0.64192-0	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	saccharolytic		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Oscillibacter valericigenes	10.1099/ijs.0.64717-0	obligate anaerobe	slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	major product	not indicated
Oribacterium sinus	10.1099/ijs.0.63060-0	obligate anaerobe	ovoid	motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Odoribacter denticanis	10.1099/ijs.0.63458-0	anaerobe (unspecified)	fusiform	non-motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Ochrobactrum anthropi	10.1099/00207713-38-4-406	not indicated	not indicated	motile	not indicated	not indicated	not indicated	saccharolytic		not indicated	catalase positive	not indicated	consumed	consumed	not indicated	consumed	not indicated	not indicated
Porphyromonas gingivalis	10.1099/00207713-38-1-128	obligate anaerobe	rods or oval-shaped	non-motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	major product	minor product	major product	minor product	not indicated	minor product
Variovorax paradoxus	10.1099/00207713-41-3-445	aerobe	rods or slightly curved rods	motile	not indicated	not indicated	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Pyramidobacter piscolens	10.1099/ijs.0.000364-0	obligate anaerobe	rod/ bacilli	non-motile	not indicated	Gram-negative	no growth in 20% bile	asaccharolytic		not indicated	catalase negative	not indicated	major product	minor product	not indicated	minor product	not indicated	minor product
Barnesiella viscericola	10.1099/ijs.0.64709-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Dorea formicigenerans	10.1099/00207713-52-2-423	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	major product	major product	not producted	not indicated	not indicated	not indicated	not indicated
Dorea longicatena	10.1099/00207713-52-2-423	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-variable	not indicated	not indicated		not indicated	catalase negative	major product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Facklamia hominis	10.1099/00207713-47-3-880	facultative anaerobe	ovoid	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease variable	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Flavonifractor plautii	10.1099/ijs.0.016725-0	anaerobe (unspecified)	rod/ bacilli	variable	mixed	Gram-variable	not indicated	asaccharolytic		not indicated	not indicated	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Bordetella petrii	10.1099/00207713-51-4-1257	microaerobe or anaerobe	rods or oval-shaped	non-motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Olsenella uli	10.1099/00207713-51-5-1797	anaerobe (unspecified)	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Jonquetella antrhopi	10.1099/ijs.0.65213-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	catalase negative	not indicated	major product	major product	not indicated	minor product	not indicated	major product
Prevotella amnii	10.1099/ijs.0.65118-0	anaerobe (unspecified)	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Xylanibacter oryzae	10.1099/ijs.0.64364-0	not indicated	rod/ bacilli	non-motile	non-spore forming	Gram-negative	no growth in 20% bile	not indicated		urease negative	catalase negative	not indicated	major product	major product	not indicated	not indicated	not indicated	not indicated
Erysipelothrix tonsillarum	10.1099/00207713-37-2-166	not indicated	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Eikenella corrodens	10.1099/00207713-22-2-73	facultative anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	asaccharolytic		urease negative	catalase negative	not producted	not producted	not producted	not producted	not producted	not producted	not producted
Christensenella minuta	10.1099/ijs.0.026989-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	no growth in 20% bile	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Murdochiella asaccharolytica	10.1099/ijs.0.015909-0	obligate anaerobe	cocci	non-motile	not indicated	Gram-positive	no growth in 20% bile	asaccharolytic		urease negative	catalase negative	not indicated	minor product	not indicated	minor product	not indicated	not indicated	not indicated
Moryella indoligenes	10.1099/ijs.0.64705-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-variable	not indicated	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Mogibacterium pumilum	10.1099/00207713-50-2-679	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Mogibacterium vescum	10.1099/00207713-50-2-679	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Megasphaera micronuciformis	10.1099/ijs.0.02378-0	obligate anaerobe	cocci	non-motile	not indicated	Gram-negative	not indicated	not indicated		not indicated	catalase negative	not indicated	major product	major product	major product	not indicated	not indicated	major product
Holdemania filiformis	10.1099/00207713-47-4-	anaerobe (unspecified)	rod/ bacilli	not indicated	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	minor product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter pylori	10.1099/00207713-39-4-397	aerobe	slightly curved rods	motile	not indicated	Gram-negative	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter mustelae	10.1099/00207713-39-4-397	microaerobe or anaerobe	slightly curved rods	motile	not indicated	Gram-negative	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Granulicatella adiacens	10.1099/00207713-50-1-365	facultative anaerobe	rods, cocci, or oval-shaped	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Granulicatella elegans	10.1099/00207713-50-1-365	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Granulicatella balaenopterae	10.1099/00207713-50-1-365	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease positive	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Lachnospira multipara	N/A	not indicated	slightly curved rods	motile	not indicated	Gram-variable	not indicated	saccharolytic	http://jb.asm.org/content/72/1/22.full.pdf+html	not indicated	catalase negative	major product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Gordonibacter pamelaeae	10.1099/ijs.0.005900-0	obligate anaerobe	oval-shaped/ coccobaccili	motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Anaerococcus prevotii	10.1099/00207713-51-4-1521	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	mixed		urease variable	not indicated	not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated
Anaeroglobus geminatus	10.1099/00207713-52-3-983	obligate anaerobe	cocci or oval-shaped	not indicated	non-spore forming	Gram-negative	not indicated	mixed		not indicated	catalase negative	not indicated	major product	major product	major product	major product	not indicated	major product
Bulleidia extructa	10.1099/00207713-50-3-979	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	no growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Acidaminococcus fermentans	N/A	anaerobe (unspecified)	cocci or oval-shaped	not indicated	non-spore forming	Gram-negative	not indicated	mixed	http://jb.asm.org/content/98/2/756.full.pdf+html	not indicated	not indicated	not indicated	major product	not producted	major product	not indicated	not indicated	not indicated
Johnsonella ignava	10.1099/00207713-44-2-187	anaerobe (unspecified)	rod/ bacilli	not indicated	not indicated	Gram-negative	no growth in 20% bile	asaccharolytic		not indicated	catalase negative	not indicated	major product	not indicated	minor product	minor product	not indicated	major product
Hallella seregens	10.1099/00207713-44-2-187	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Catonella morbi	10.1099/00207713-44-2-187	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	minor product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Dialister pneumosintes	10.1099/00207713-44-2-187	anaerobe (unspecified)	rod/ bacilli	not indicated	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	minor product	minor product	not indicated	not indicated	not indicated	not indicated
Oribaculum catoniae	10.1099/00207713-44-2-187	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	minor product	major product	major product	not indicated	not indicated	not indicated	minor product
Arthrobacter agilis	10.1099/00207713-45-4-	aerobe	ovoid	variable	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Collinsella aerofaciens	10.1099/00207713-49-2-557	obligate anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Delftia acidovorans	10.1099/00207713-49-2-567	obligate anaerobe	slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	catalase positive	not indicated	consumed	not indicated	consumed	consumed	consumed	consumed
Atopobium deltae	10.1099/ijs.0.065243-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Enterorhabdus mucosicola	10.1099/ijs.0.003087-0	not indicated	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Kingella orale	10.1099/00207713-43-3-490	facultative anaerobe	rods or oval-shaped	non-motile	not indicated	Gram-negative	not indicated	not indicated		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Microbacterium immunditiarum	10.1099/ijs.0.033373-0	not indicated	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Alloprevotella tannerae	10.1099/ijs.0.041376-0	obligate anaerobe	rod/ bacilli	non-motile	not indicated	Gram-negative	not indicated	saccharolytic		urease negative	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Alloprevotella rava	10.1099/ijs.0.041376-0	obligate anaerobe	rod/ bacilli	non-motile	not indicated	Gram-negative	no growth in 20% bile	saccharolytic		urease negative	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	minor product
Anaerostripes butyraticus	10.1099/ijs.0.015289-0	anaerobe (unspecified)	rod/ bacilli	non-motile	spore forming	Gram-positive	not indicated	not indicated		urease negative	not indicated	not indicated	consumed	consumed	major product	not indicated	not indicated	not indicated
Campylobacter concisus	10.1099/00207713-31-4-432	microaerobe or anaerobe	slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	not indicated		urease negative	catalase negative	major product	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Actinomyces bowdenii	10.1099/00207713-49-4-1873	facultative anaerobe	rods or slightly curved rods	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Actinomyces timonensis	10.1099/ijs.0.012914-0	anaerobe (unspecified)	rod/ bacilli	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Anaerococcus tetradius	10.1099/00207713-51-4-1521	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	saccharolytic		urease positive	not indicated	not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated
Bacteroides acidifaciens	10.1099/00207713-50-1-145	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Bacteroides caecimuris	N/A	obligate anaerobe	rod/ bacilli	not indicated	not indicated	Gram-negative	not indicated	saccharolytic	https://www.nature.com/articles/nmicrobiol2016131	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bacteroides ovatus	N/A	not indicated	oval-shaped/ coccobaccili	not indicated	not indicated	not indicated	not indicated	saccharolytic	http://jb.asm.org/content/25/4/389.full.pdf+html	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bacteroides xylanisolvens	10.1099/ijs.0.65504-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		urease negative	catalase negative	not indicated	major product	major product	not indicated	not indicated	not indicated	not indicated
Bifidobacterium animalis	10.1099/00207713-24-1-21	anaerobe (unspecified)	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	major product	not producted	not producted	not indicated	not indicated	not indicated
Cellulosimicrobium cellulans	10.1099/00207713-51-3-1007	facultative anaerobe	rods or cocci	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	catalase positive	minor product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Coprococcus eutactus	10.1099/00207713-24-2-260	obligate anaerobe	cocci	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	major product	major product	not producted	major product	not indicated	not indicated	not indicated
Anaerosalibacter bizertensis	10.1099/ijs.0.036566-0	obligate anaerobe	rod/ bacilli	motile	spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bacillus thermoamylovorans	0.1099/00207713-45-1-9	facultative anaerobe	rod/ bacilli	motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	major product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Enterococcus faecalis	10.1099/00207713-34-1-31	facultative anaerobe	ovoid	variable	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Enterococcus faecium	10.1099/00207713-34-1-31	not indicated	ovoid	variable	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Enterococcus gallinarum	10.1099/00207713-34-2-220	not indicated	cocci	non-motile	not indicated	not indicated	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Enterococcus hirae	10.1099/00207713-35-1-73	facultative anaerobe	ovoid	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus warneri	10.1099/00207713-25-1-62	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus capitis	10.1099/00207713-25-1-62	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus hominis	10.1099/00207713-25-1-62	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus simulans	10.1099/00207713-25-1-62	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus xylosus	10.1099/00207713-25-1-50	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Murimonas intestini	10.1099/ijs.0.000030	obligate anaerobe	oval-shaped/ coccobaccili	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Intestinimonas butyriciproducens	10.1099/ijs.0.051441-0	obligate anaerobe	fusiform	non-motile	spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Stenotrophomonas maltophilia	10.1099/00207713-43-3-606	not indicated	not indicated	motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Enterorhabdus caecimuris	10.1099/ijs.0.015016-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Eubacterium hallii	10.1099/00207713-24-2-260	obligate anaerobe	rod/ bacilli	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	minor product	major product	not producted	major product	not indicated	not indicated	not indicated
Lactobacillus apodemi	10.1099/ijs.0.64147-0	facultative anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
