AY538164	1	1436	s93	Acholeplasma cavigenitalium		Acholeplasmataceae	1	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
AY538165	1	1408	s93	Acholeplasma equifetale		Acholeplasmataceae	1	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
AY538166	1	1409	s93	Acholeplasma granularum		Acholeplasmataceae	2, t	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
AY538167	1	1411	s93	Acholeplasma hippikon		Acholeplasmataceae	2, t	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
U14905	1	1476	s93	Acholeplasma laidlawii	type sp.	Acholeplasmataceae	2, t	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
M23933	1	1472	s93	Acholeplasma modicum		Acholeplasmataceae	2, t	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
AY538168	1	1427	s93	Acholeplasma morum		Acholeplasmataceae	2, t	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
U14904	1	1490	s93	Acholeplasma oculi		Acholeplasmataceae	2, t	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
L33734	45	1457	s93	Acholeplasma palmae		Acholeplasmataceae	1	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
AY538170	1	1426	s93	Acholeplasma parvum		Acholeplasmataceae	1	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
AY257485	1	1457	s93	Acholeplasma pleciae		Acholeplasmataceae	1	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
AF031479	1	1517	s93	Acholeplasma vituli		Acholeplasmataceae	1	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
HF586507	1	1483	s119	Achromobacter aegrifaciens		Alcaligenaceae		http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
HE613448	1	1507	s119	Achromobacter animicus		Alcaligenaceae		http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
HF586508	1	1483	s119	Achromobacter anxifer		Alcaligenaceae		http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
AJ278451	1	1523	s93	Achromobacter denitrificans		Alcaligenaceae	2	http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
HF586509	1	1483	s119	Achromobacter dolens		Alcaligenaceae		http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
AY170847	1	1473	s93	Achromobacter insolitus		Alcaligenaceae	1, +	http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
HF586506	1	1483	s119	Achromobacter insuavis		Alcaligenaceae		http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
EU150134	1	1378	s108	Achromobacter marplatensis		Alcaligenaceae		http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
HE613446	1	1507	s119	Achromobacter mucicolens		Alcaligenaceae		http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
AB010841	1	1321	s93	Achromobacter piechaudii		Alcaligenaceae	2	http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
HE798552	1	1489	s119	Achromobacter pulmonis		Alcaligenaceae		http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
AB010840	1	1318	s93	Achromobacter ruhlandii		Alcaligenaceae	1, +	http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
AY170848	1	1446	s93	Achromobacter spanius		Alcaligenaceae	1, +	http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
Y14908	1	1495	s93	Achromobacter xylosoxidans subsp. xylosoxidans	type sp.	Alcaligenaceae	2	http://www.bacterio.net/achromobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
AF016691	1	1468	s93	Acidaminobacter hydrogenoformans	type sp.	Unclassified Clostridiales	1	http://www.bacterio.net/acidaminobacter.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales	Bacteria;Firmicutes;Clostridia;Unclassified Clostridiales;Acidaminobacter
